Transaction_ID,User_ID,User_Role,Book_ID,Book_Title,Book_Category,Branch_Location,Borrow_Date,Return_Date,Borrow_Duration_Days,Overdue_Status,Renewal_Count,Available_Copies_At_Borrow,Reservation_Status,Month,Year
TXN_20250034,USR_1079,Faculty,BK_505,Principles for Navigating Big Debt Crises,Business & Economics,Science & Tech Annex,2025-02-01,2025-02-17,16,0,0,2,No Reservation,Feb 2025,2025
TXN_20250035,USR_1063,Staff,BK_101,Deep Learning with Python,Computer Science & AI,Engineering Branch,2025-02-01,2025-02-18,17,0,1,3,No Reservation,Feb 2025,2025
TXN_20250036,USR_1043,Faculty,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Science & Tech Annex,2025-02-01,2025-02-20,19,0,0,4,No Reservation,Feb 2025,2025
TXN_20250037,USR_1039,Student,BK_405,Churchill: A Life,History & Biography,Engineering Branch,2025-02-02,2025-02-13,11,0,0,1,No Reservation,Feb 2025,2025
TXN_20250038,USR_1014,Faculty,BK_502,Zero to One,Business & Economics,Main Campus Library,2025-02-03,2025-03-17,42,0,1,3,No Reservation,Feb 2025,2025
TXN_20250039,USR_1039,Student,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Engineering Branch,2025-02-03,2025-02-15,12,0,0,3,No Reservation,Feb 2025,2025
TXN_20250040,USR_1038,Research Scholar,BK_204,Storytelling with Data,Data Science & Statistics,Engineering Branch,2025-02-03,2025-02-17,14,0,1,3,Reserved,Feb 2025,2025
TXN_20250041,USR_1043,Faculty,BK_502,Zero to One,Business & Economics,Main Campus Library,2025-02-03,2025-02-27,24,0,0,4,No Reservation,Feb 2025,2025
TXN_20250042,USR_1031,Research Scholar,BK_105,Introduction to Algorithms (CLRS),Computer Science & AI,Engineering Branch,2025-02-03,2025-02-16,13,0,0,2,Reserved,Feb 2025,2025
TXN_20250043,USR_1080,Student,BK_501,The Intelligent Investor,Business & Economics,Main Campus Library,2025-02-03,2025-02-21,18,0,0,1,No Reservation,Feb 2025,2025
TXN_20250044,USR_1001,Student,BK_306,The Catcher in the Rye,Fiction & Literature,Engineering Branch,2025-02-03,2025-02-23,20,0,1,0,Reserved,Feb 2025,2025
TXN_20250045,USR_1011,Student,BK_501,The Intelligent Investor,Business & Economics,Science & Tech Annex,2025-02-03,2025-02-11,8,0,0,4,No Reservation,Feb 2025,2025
TXN_20250046,USR_1063,Staff,BK_402,Steve Jobs,History & Biography,Management Library,2025-02-04,2025-02-18,14,0,0,0,Reserved,Feb 2025,2025
TXN_20250047,USR_1036,Student,BK_103,Clean Code: A Handbook of Agile Software,Computer Science & AI,Science & Tech Annex,2025-02-04,2025-02-14,10,0,1,2,No Reservation,Feb 2025,2025
TXN_20250048,USR_1078,Student,BK_403,"Guns, Germs, and Steel",History & Biography,Management Library,2025-02-04,2025-02-09,5,0,0,0,Reserved,Feb 2025,2025
TXN_20250049,USR_1031,Research Scholar,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-05,2025-03-06,29,0,0,3,No Reservation,Feb 2025,2025
TXN_20250050,USR_1078,Student,BK_203,Hands-On Machine Learning,Data Science & Statistics,Engineering Branch,2025-02-05,2025-02-19,14,0,0,2,No Reservation,Feb 2025,2025
TXN_20250051,USR_1003,Student,BK_102,Designing Data-Intensive Applications,Computer Science & AI,Engineering Branch,2025-02-05,2025-02-15,10,0,0,8,Reserved,Feb 2025,2025
TXN_20250052,USR_1095,Student,BK_203,Hands-On Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-05,2025-02-16,11,0,0,2,No Reservation,Feb 2025,2025
TXN_20250053,USR_1089,Student,BK_201,Python for Data Analysis,Data Science & Statistics,Management Library,2025-02-05,2025-02-23,18,0,0,3,No Reservation,Feb 2025,2025
TXN_20250054,USR_1089,Student,BK_102,Designing Data-Intensive Applications,Computer Science & AI,Management Library,2025-02-05,2025-02-10,5,0,1,3,No Reservation,Feb 2025,2025
TXN_20250055,USR_1009,Faculty,BK_501,The Intelligent Investor,Business & Economics,Science & Tech Annex,2025-02-05,2025-03-15,38,0,0,1,No Reservation,Feb 2025,2025
TXN_20250056,USR_1086,Student,BK_202,Practical Statistics for Data Scientists,Data Science & Statistics,Science & Tech Annex,2025-02-05,2025-02-23,18,0,0,3,No Reservation,Feb 2025,2025
TXN_20250057,USR_1063,Staff,BK_203,Hands-On Machine Learning,Data Science & Statistics,Engineering Branch,2025-02-07,2025-02-20,13,0,0,3,No Reservation,Feb 2025,2025
TXN_20250058,USR_1043,Faculty,BK_103,Clean Code: A Handbook of Agile Software,Computer Science & AI,Main Campus Library,2025-02-07,2025-03-15,36,1,0,1,No Reservation,Feb 2025,2025
TXN_20250059,USR_1031,Research Scholar,BK_402,Steve Jobs,History & Biography,Management Library,2025-02-07,2025-02-20,13,0,0,3,No Reservation,Feb 2025,2025
TXN_20250060,USR_1086,Student,BK_201,Python for Data Analysis,Data Science & Statistics,Main Campus Library,2025-02-07,2025-02-24,17,0,3,3,No Reservation,Feb 2025,2025
TXN_20250061,USR_1011,Student,BK_502,Zero to One,Business & Economics,Engineering Branch,2025-02-07,2025-02-21,14,0,0,4,No Reservation,Feb 2025,2025
TXN_20250062,USR_1078,Student,BK_306,The Catcher in the Rye,Fiction & Literature,Management Library,2025-02-07,2025-02-12,5,0,3,3,No Reservation,Feb 2025,2025
TXN_20250063,USR_1030,Student,BK_504,"Thinking, Fast and Slow",Business & Economics,Management Library,2025-02-07,2025-02-18,11,0,0,1,No Reservation,Feb 2025,2025
TXN_20250064,USR_1044,Research Scholar,BK_104,Artificial Intelligence: A Modern Approach,Computer Science & AI,Engineering Branch,2025-02-07,2025-03-08,29,0,0,3,No Reservation,Feb 2025,2025
TXN_20250065,USR_1044,Research Scholar,BK_106,Operating System Concepts,Computer Science & AI,Engineering Branch,2025-02-07,2025-02-22,15,0,0,4,No Reservation,Feb 2025,2025
TXN_20250066,USR_1079,Faculty,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Engineering Branch,2025-02-08,2025-03-16,36,0,0,1,Reserved,Feb 2025,2025
TXN_20250067,USR_1003,Student,BK_104,Artificial Intelligence: A Modern Approach,Computer Science & AI,Management Library,2025-02-08,2025-02-26,18,0,0,2,No Reservation,Feb 2025,2025
TXN_20250068,USR_1081,Faculty,BK_401,Sapiens: A Brief History of Humankind,History & Biography,Science & Tech Annex,2025-02-08,2025-03-09,29,0,0,2,No Reservation,Feb 2025,2025
TXN_20250069,USR_1012,Student,BK_403,"Guns, Germs, and Steel",History & Biography,Engineering Branch,2025-02-08,2025-03-01,21,0,0,1,No Reservation,Feb 2025,2025
TXN_20250070,USR_1079,Faculty,BK_106,Operating System Concepts,Computer Science & AI,Main Campus Library,2025-02-09,2025-03-07,26,0,0,1,No Reservation,Feb 2025,2025
TXN_20250071,USR_1086,Student,BK_106,Operating System Concepts,Computer Science & AI,Science & Tech Annex,2025-02-09,2025-02-16,7,0,3,5,No Reservation,Feb 2025,2025
TXN_20250072,USR_1069,Student,BK_203,Hands-On Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-10,2025-02-26,16,0,0,1,No Reservation,Feb 2025,2025
TXN_20250073,USR_1003,Student,BK_101,Deep Learning with Python,Computer Science & AI,Management Library,2025-02-10,2025-03-02,20,0,0,1,No Reservation,Feb 2025,2025
TXN_20250074,USR_1031,Research Scholar,BK_104,Artificial Intelligence: A Modern Approach,Computer Science & AI,Main Campus Library,2025-02-10,2025-02-20,10,1,3,2,No Reservation,Feb 2025,2025
TXN_20250075,USR_1058,Student,BK_203,Hands-On Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-11,2025-02-23,12,0,0,2,No Reservation,Feb 2025,2025
TXN_20250076,USR_1017,Student,BK_203,Hands-On Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-11,2025-02-23,12,0,0,2,No Reservation,Feb 2025,2025
TXN_20250077,USR_1076,Student,BK_504,"Thinking, Fast and Slow",Business & Economics,Engineering Branch,2025-02-11,2025-02-20,9,0,0,2,No Reservation,Feb 2025,2025
TXN_20250078,USR_1001,Student,BK_601,University Physics with Modern Physics,Science & Engineering,Main Campus Library,2025-02-11,2025-03-03,20,1,0,8,No Reservation,Feb 2025,2025
TXN_20250079,USR_1063,Staff,BK_202,Practical Statistics for Data Scientists,Data Science & Statistics,Engineering Branch,2025-02-11,2025-03-04,21,0,0,2,No Reservation,Feb 2025,2025
TXN_20250080,USR_1048,Student,BK_403,"Guns, Germs, and Steel",History & Biography,Main Campus Library,2025-02-12,2025-02-27,15,0,2,2,No Reservation,Feb 2025,2025
TXN_20250081,USR_1027,Student,BK_104,Artificial Intelligence: A Modern Approach,Computer Science & AI,Science & Tech Annex,2025-02-12,2025-03-02,18,0,0,3,No Reservation,Feb 2025,2025
TXN_20250082,USR_1057,Student,BK_202,Practical Statistics for Data Scientists,Data Science & Statistics,Engineering Branch,2025-02-12,2025-02-17,5,0,0,4,No Reservation,Feb 2025,2025
TXN_20250083,USR_1079,Faculty,BK_204,Storytelling with Data,Data Science & Statistics,Main Campus Library,2025-02-12,2025-03-08,24,0,0,8,No Reservation,Feb 2025,2025
TXN_20250084,USR_1063,Staff,BK_303,The Great Gatsby,Fiction & Literature,Main Campus Library,2025-02-12,2025-02-22,10,0,0,4,No Reservation,Feb 2025,2025
TXN_20250085,USR_1063,Staff,BK_203,Hands-On Machine Learning,Data Science & Statistics,Science & Tech Annex,2025-02-13,2025-02-27,14,1,0,2,No Reservation,Feb 2025,2025
TXN_20250086,USR_1063,Staff,BK_103,Clean Code: A Handbook of Agile Software,Computer Science & AI,Engineering Branch,2025-02-13,2025-02-25,12,0,0,2,No Reservation,Feb 2025,2025
TXN_20250087,USR_1043,Faculty,BK_403,"Guns, Germs, and Steel",History & Biography,Management Library,2025-02-14,2025-03-01,15,0,1,1,No Reservation,Feb 2025,2025
TXN_20250088,USR_1036,Student,BK_103,Clean Code: A Handbook of Agile Software,Computer Science & AI,Main Campus Library,2025-02-14,2025-02-28,14,0,0,1,No Reservation,Feb 2025,2025
TXN_20250089,USR_1012,Student,BK_304,Pride and Prejudice,Fiction & Literature,Engineering Branch,2025-02-14,2025-02-24,10,0,1,3,No Reservation,Feb 2025,2025
TXN_20250090,USR_1002,Student,BK_601,University Physics with Modern Physics,Science & Engineering,Science & Tech Annex,2025-02-15,2025-03-02,15,0,0,2,No Reservation,Feb 2025,2025
TXN_20250091,USR_1039,Student,BK_106,Operating System Concepts,Computer Science & AI,Management Library,2025-02-15,2025-02-20,5,0,0,2,No Reservation,Feb 2025,2025
TXN_20250092,USR_1058,Student,BK_501,The Intelligent Investor,Business & Economics,Management Library,2025-02-16,2025-02-23,7,0,0,5,No Reservation,Feb 2025,2025
TXN_20250093,USR_1031,Research Scholar,BK_405,Churchill: A Life,History & Biography,Management Library,2025-02-16,2025-03-19,31,0,0,3,No Reservation,Feb 2025,2025
TXN_20250094,USR_1047,Faculty,BK_404,The Silk Roads: A New History of the World,History & Biography,Main Campus Library,2025-02-16,2025-03-15,27,0,0,4,No Reservation,Feb 2025,2025
TXN_20250095,USR_1063,Staff,BK_101,Deep Learning with Python,Computer Science & AI,Main Campus Library,2025-02-16,2025-03-05,17,0,0,4,No Reservation,Feb 2025,2025
TXN_20250096,USR_1006,Research Scholar,BK_102,Designing Data-Intensive Applications,Computer Science & AI,Main Campus Library,2025-02-16,2025-03-01,13,0,0,4,Reserved,Feb 2025,2025
TXN_20250097,USR_1063,Staff,BK_101,Deep Learning with Python,Computer Science & AI,Main Campus Library,2025-02-17,2025-03-12,23,0,0,1,No Reservation,Feb 2025,2025
TXN_20250098,USR_1078,Student,BK_201,Python for Data Analysis,Data Science & Statistics,Main Campus Library,2025-02-17,2025-03-09,20,0,0,4,No Reservation,Feb 2025,2025
TXN_20250099,USR_1069,Student,BK_106,Operating System Concepts,Computer Science & AI,Main Campus Library,2025-02-17,2025-02-24,7,1,0,2,No Reservation,Feb 2025,2025
TXN_20250100,USR_1009,Faculty,BK_505,Principles for Navigating Big Debt Crises,Business & Economics,Science & Tech Annex,2025-02-18,2025-03-07,17,0,0,2,Reserved,Feb 2025,2025
TXN_20250101,USR_1035,Staff,BK_303,The Great Gatsby,Fiction & Literature,Engineering Branch,2025-02-18,2025-03-11,21,1,2,10,Reserved,Feb 2025,2025
TXN_20250102,USR_1043,Faculty,BK_601,University Physics with Modern Physics,Science & Engineering,Science & Tech Annex,2025-02-18,2025-03-11,21,0,0,1,No Reservation,Feb 2025,2025
TXN_20250103,USR_1036,Student,BK_501,The Intelligent Investor,Business & Economics,Engineering Branch,2025-02-18,2025-03-06,16,0,0,1,Reserved,Feb 2025,2025
TXN_20250104,USR_1024,Student,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-18,2025-03-03,13,0,0,4,No Reservation,Feb 2025,2025
TXN_20250105,USR_1081,Faculty,BK_103,Clean Code: A Handbook of Agile Software,Computer Science & AI,Engineering Branch,2025-02-19,2025-03-20,29,0,0,2,No Reservation,Feb 2025,2025
TXN_20250106,USR_1086,Student,BK_502,Zero to One,Business & Economics,Main Campus Library,2025-02-19,2025-03-03,12,0,0,1,No Reservation,Feb 2025,2025
TXN_20250107,USR_1011,Student,BK_401,Sapiens: A Brief History of Humankind,History & Biography,Main Campus Library,2025-02-19,2025-03-03,12,0,0,2,No Reservation,Feb 2025,2025
TXN_20250108,USR_1028,Student,BK_204,Storytelling with Data,Data Science & Statistics,Science & Tech Annex,2025-02-19,2025-02-26,7,0,2,1,No Reservation,Feb 2025,2025
TXN_20250109,USR_1001,Student,BK_501,The Intelligent Investor,Business & Economics,Main Campus Library,2025-02-19,2025-03-11,20,0,0,3,No Reservation,Feb 2025,2025
TXN_20250110,USR_1044,Research Scholar,BK_203,Hands-On Machine Learning,Data Science & Statistics,Science & Tech Annex,2025-02-20,2025-03-23,31,0,0,4,No Reservation,Feb 2025,2025
TXN_20250111,USR_1074,Student,BK_604,Microelectronic Circuits,Science & Engineering,Main Campus Library,2025-02-20,2025-02-25,5,0,0,4,No Reservation,Feb 2025,2025
TXN_20250112,USR_1036,Student,BK_201,Python for Data Analysis,Data Science & Statistics,Engineering Branch,2025-02-20,2025-03-10,18,1,0,4,No Reservation,Feb 2025,2025
TXN_20250113,USR_1030,Student,BK_302,1984,Fiction & Literature,Engineering Branch,2025-02-20,2025-03-13,21,0,1,2,Reserved,Feb 2025,2025
TXN_20250114,USR_1038,Research Scholar,BK_404,The Silk Roads: A New History of the World,History & Biography,Science & Tech Annex,2025-02-20,2025-03-07,15,0,0,1,No Reservation,Feb 2025,2025
TXN_20250115,USR_1039,Student,BK_304,Pride and Prejudice,Fiction & Literature,Main Campus Library,2025-02-21,2025-03-05,12,0,0,2,No Reservation,Feb 2025,2025
TXN_20250116,USR_1087,Student,BK_306,The Catcher in the Rye,Fiction & Literature,Main Campus Library,2025-02-21,2025-02-28,7,0,0,1,No Reservation,Feb 2025,2025
TXN_20250117,USR_1001,Student,BK_402,Steve Jobs,History & Biography,Main Campus Library,2025-02-21,2025-02-28,7,1,0,4,No Reservation,Feb 2025,2025
TXN_20250118,USR_1029,Faculty,BK_203,Hands-On Machine Learning,Data Science & Statistics,Engineering Branch,2025-02-21,2025-03-28,35,0,0,4,No Reservation,Feb 2025,2025
TXN_20250119,USR_1001,Student,BK_203,Hands-On Machine Learning,Data Science & Statistics,Engineering Branch,2025-02-22,2025-03-05,11,0,0,4,No Reservation,Feb 2025,2025
TXN_20250120,USR_1044,Research Scholar,BK_204,Storytelling with Data,Data Science & Statistics,Main Campus Library,2025-02-22,2025-03-07,13,0,0,2,No Reservation,Feb 2025,2025
TXN_20250121,USR_1070,Faculty,BK_202,Practical Statistics for Data Scientists,Data Science & Statistics,Management Library,2025-02-22,2025-03-31,37,1,0,1,Reserved,Feb 2025,2025
TXN_20250122,USR_1076,Student,BK_205,Pattern Recognition and Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-22,2025-03-05,11,0,1,2,No Reservation,Feb 2025,2025
TXN_20250123,USR_1086,Student,BK_203,Hands-On Machine Learning,Data Science & Statistics,Main Campus Library,2025-02-23,2025-03-11,16,0,0,2,No Reservation,Feb 2025,2025
TXN_20250124,USR_1033,Student,BK_503,Atomic Habits,Business & Economics,Main Campus Library,2025-02-23,2025-03-14,19,0,2,2,No Reservation,Feb 2025,2025
TXN_20250125,USR_1044,Research Scholar,BK_301,To Kill a Mockingbird,Fiction & Literature,Engineering Branch,2025-02-23,2025-03-16,21,0,0,1,Reserved,Feb 2025,2025
TXN_20250126,USR_1076,Student,BK_601,University Physics with Modern Physics,Science & Engineering,Main Campus Library,2025-02-23,2025-03-01,6,0,0,2,No Reservation,Feb 2025,2025
TXN_20250127,USR_1065,Student,BK_101,Deep Learning with Python,Computer Science & AI,Main Campus Library,2025-02-23,2025-03-01,6,0,0,1,No Reservation,Feb 2025,2025
TXN_20250128,USR_1031,Research Scholar,BK_403,"Guns, Germs, and Steel",History & Biography,Management Library,2025-02-24,2025-03-08,12,0,0,2,No Reservation,Feb 2025,2025
TXN_20250129,USR_1063,Staff,BK_202,Practical Statistics for Data Scientists,Data Science & Statistics,Engineering Branch,2025-02-25,2025-03-23,26,0,0,1,Reserved,Feb 2025,2025
TXN_20250130,USR_1080,Student,BK_503,Atomic Habits,Business & Economics,Management Library,2025-02-25,2025-03-03,6,0,0,2,No Reservation,Feb 2025,2025
TXN_20250131,USR_1009,Faculty,BK_204,Storytelling with Data,Data Science & Statistics,Main Campus Library,2025-02-26,2025-03-22,24,0,3,2,No Reservation,Feb 2025,2025
TXN_20250132,USR_1063,Staff,BK_305,Dune,Fiction & Literature,Management Library,2025-02-26,2025-03-23,25,0,0,4,No Reservation,Feb 2025,2025
TXN_20250133,USR_1031,Research Scholar,BK_105,Introduction to Algorithms (CLRS),Computer Science & AI,Engineering Branch,2025-02-26,2025-03-28,30,0,2,3,No Reservation,Feb 2025,2025
TXN_20250134,USR_1031,Research Scholar,BK_405,Churchill: A Life,History & Biography,Science & Tech Annex,2025-02-26,2025-03-28,30,0,0,8,No Reservation,Feb 2025,2025
TXN_20250135,USR_1081,Faculty,BK_505,Principles for Navigating Big Debt Crises,Business & Economics,Engineering Branch,2025-02-27,2025-03-20,21,1,1,1,No Reservation,Feb 2025,2025
TXN_20250136,USR_1031,Research Scholar,BK_304,Pride and Prejudice,Fiction & Literature,Main Campus Library,2025-02-27,2025-03-25,26,0,0,0,Reserved,Feb 2025,2025
TXN_20250137,USR_1089,Student,BK_504,"Thinking, Fast and Slow",Business & Economics,Management Library,2025-02-27,2025-03-14,15,0,0,2,No Reservation,Feb 2025,2025
TXN_20250138,USR_1063,Staff,BK_601,University Physics with Modern Physics,Science & Engineering,Engineering Branch,2025-02-27,2025-03-18,19,0,2,5,No Reservation,Feb 2025,2025
TXN_20250139,USR_1052,Student,BK_402,Steve Jobs,History & Biography,Main Campus Library,2025-02-27,2025-03-18,19,0,0,1,No Reservation,Feb 2025,2025
TXN_20250140,USR_1095,Student,BK_303,The Great Gatsby,Fiction & Literature,Engineering Branch,2025-02-27,2025-03-07,8,0,1,1,No Reservation,Feb 2025,2025
TXN_20250141,USR_1028,Student,BK_501,The Intelligent Investor,Business & Economics,Science & Tech Annex,2025-02-28,2025-03-13,13,0,0,1,No Reservation,Feb 2025,2025
TXN_20250142,USR_1009,Faculty,BK_404,The Silk Roads: A New History of the World,History & Biography,Management Library,2025-02-28,2025-03-31,31,0,1,4,No Reservation,Feb 2025,2025
TXN_20250143,USR_1009,Faculty,BK_603,Calculus: Early Transcendentals,Science & Engineering,Engineering Branch,2025-02-28,2025-03-28,28,0,1,1,No Reservation,Feb 2025,2025
TXN_20250144,USR_1081,Faculty,BK_504,"Thinking, Fast and Slow",Business & Economics,Science & Tech Annex,2025-02-28,2025-03-22,22,1,2,4,No Reservation,Feb 2025,2025
TXN_20250145,USR_1065,Student,BK_103,Clean Code: A Handbook of Agile Software,Computer Science & AI,Science & Tech Annex,2025-02-28,2025-03-12,12,0,0,4,No Reservation,Feb 2025,2025
TXN_20250146,USR_1063,Staff,BK_204,Storytelling with Data,Data Science & Statistics,Engineering Branch,2025-03-01,2025-03-20,19,0,0,2,No Reservation,Mar 2025,2025
TXN_20250147,USR_1069,Student,BK_305,Dune,Fiction & Literature,Main Campus Library,2025-03-01,2025-03-17,16,0,1,8,No Reservation,Mar 2025,2025
TXN_20250148,USR_1066,Faculty,BK_504,"Thinking, Fast and Slow",Business & Economics,Management Library,2025-03-02,2025-03-19,17,1,1,1,No Reservation,Mar 2025,2025
TXN_20250149,USR_1009,Faculty,BK_101,Deep Learning with Python,Computer Science & AI,Science & Tech Annex,2025-03-02,2025-04-03,32,0,1,0,Reserved,Mar 2025,2025
TXN_20250150,USR_1038,Research Scholar,BK_301,To Kill a Mockingbird,Fiction & Literature,Main Campus Library,2025-03-03,2025-04-06,34,0,0,2,No Reservation,Mar 2025,2025
TXN_20250151,USR_1036,Student,BK_106,Operating System Concepts,Computer Science & AI,Main Campus Library,2025-03-04,2025-03-21,17,0,2,3,No Reservation,Mar 2025,2025
TXN_20250152,USR_1043,Faculty,BK_105,Introduction to Algorithms (CLRS),Computer Science & AI,Science & Tech Annex,2025-03-04,2025-03-18,14,0,3,3,No Reservation,Mar 2025,2025
TXN_20250153,USR_1053,Student,BK_304,Pride and Prejudice,Fiction & Literature,Engineering Branch,2025-03-06,2025-03-12,6,0,0,1,Reserved,Mar 2025,2025
TXN_20250154,USR_1009,Faculty,BK_303,The Great Gatsby,Fiction & Literature,Engineering Branch,2025-03-06,2025-03-29,23,0,1,1,Reserved,Mar 2025,2025
